step,time,side,price,quantity,fee,liquidity,quote_mid,quote_bid,quote_ask,immediate_spread_capture,toxic_quantity,toxic_fraction,is_toxic,inventory_after_trade,cash_after_trade,next_mid_price,post_trade_price_component,one_step_markout
1,0.004,sell,100.11,1.0,0.001,maker,100.02064229745625,99.93,100.11,0.08935770254375086,0.0,0.0,False,-1.0,100.109,99.9900740577925,0.030568239663750774,0.11992594220750163
4,0.016,sell,100.10000000000001,1.0,0.001,maker,100.00620708464085,99.92,100.10000000000001,0.09379291535915968,0.0,0.0,False,-2.0,200.208,100.00216954060852,0.00403754403232881,0.09783045939148849
22,0.088,sell,100.16,1.0,0.001,maker,100.07824879392372,100.01,100.16,0.08175120607627662,0.0,0.0,False,-3.0,300.367,100.0435551596063,0.034693634317420674,0.11644484039369729
28,0.112,sell,100.07000000000001,2.0,0.002,maker,99.98504083991928,99.92,100.07000000000001,0.16991832016145736,0.0,0.0,False,-5.0,500.50500000000005,99.96342251741375,0.0432366450110635,0.21315496517252086
34,0.136,buy,99.94,1.0,0.001,maker,100.00677233373257,99.94,100.10000000000001,0.06677233373257252,0.0,0.0,False,-4.0,400.5640000000001,99.98327763253528,-0.023494701197293466,0.043277632535279054
40,0.16,buy,99.88,1.0,0.001,maker,99.94210450883376,99.88,100.03,0.0621045088337695,0.0,0.0,False,-3.0,300.6830000000001,99.94399035011605,0.00188584128228797,0.06399035011605747
40,0.16,sell,100.03,1.0,0.001,maker,99.94210450883376,99.88,100.03,0.08789549116623618,0.0,0.0,False,-4.0,400.7120000000001,99.94399035011605,-0.00188584128228797,0.08600964988394821
42,0.168,sell,99.97,1.0,0.001,maker,99.8785138361392,99.81,99.97,0.09148616386079311,0.0,0.0,False,-5.0,500.68100000000015,99.92393609980917,-0.045422263669962604,0.04606390019083051
43,0.17200000000000001,buy,99.86,1.0,0.001,maker,99.92393609980917,99.86,100.02,0.06393609980916892,0.0,0.0,False,-4.0,400.82000000000016,99.97969948380599,0.055763383996819016,0.11969948380598794
53,0.212,buy,99.89,1.0,0.001,maker,99.95516364647703,99.89,100.05,0.06516364647703199,0.0,0.0,False,-3.0,300.9290000000002,99.97838848455396,0.023224838076927767,0.08838848455395976
55,0.22,sell,100.03,1.0,0.001,maker,99.94506556952958,99.88,100.03,0.08493443047042604,0.0,0.0,False,-4.0,400.9580000000002,99.96879365745005,-0.02372808792047465,0.06120634254995139
57,0.228,buy,99.9,1.0,0.001,maker,99.96759049666633,99.9,100.06,0.06759049666632677,0.0,0.0,False,-3.0,301.05700000000024,99.9652096133351,-0.0023808833312273237,0.06520961333509945
63,0.252,sell,100.09,1.0,0.001,maker,100.00552343456245,99.94,100.09,0.084476565437555,0.0,0.0,False,-4.0,401.1460000000003,99.99829246747136,0.007230967091089724,0.09170753252864472
65,0.26,buy,99.94,1.0,0.001,maker,99.99969865138011,99.94,100.09,0.059698651380116985,0.0,0.0,False,-3.0,301.2050000000003,99.97759372596698,-0.022104925413131582,0.0375937259669854
69,0.276,buy,99.95,1.0,0.001,maker,100.01431731097647,99.95,100.10000000000001,0.0643173109764632,0.0,0.0,False,-2.0,201.25400000000033,99.94780724476418,-0.06651006621228817,-0.0021927552358249613
75,0.3,sell,100.12,1.0,0.001,maker,100.02880484536647,99.95,100.12,0.09119515463353878,0.0,0.0,False,-3.0,301.3730000000004,100.05993962150067,-0.03113477613420912,0.06006037849932966
