step,time_start,time_end,mid_start,mid_end,price_change,process_volatility,latent_signal,drift_price_move,information_price_move,noise_price_move,jump_price_move,quote_bid,quote_ask,bid_size,ask_size,bid_distance,ask_distance,quote_center_shift,effective_half_spread,bid_intensity,ask_intensity,bid_fill_quantity,ask_fill_quantity,net_inventory_change,toxic_bid_quantity,toxic_ask_quantity,total_toxic_quantity,inventory_start,inventory_after_risk_action,inventory_after_fills,cash_start,cash_after_risk_action,cash_after_fills,wealth_start,wealth_end,forced_execution_pnl,forced_execution_cost,forced_trade_quantity,spread_capture,maker_fees,price_move_pnl,new_fill_price_pnl,carried_inventory_price_pnl,passive_markout_pnl,drift_price_pnl,information_price_pnl,noise_price_pnl,jump_price_pnl,new_fill_information_pnl,carried_information_pnl,exact_interval_pnl,attributed_interval_pnl,reconciliation_error,risk_state,risk_reason_codes,risk_liquidation_pnl,risk_drawdown,estimated_volatility,target_half_spread,estimated_bid_adverse_loss,estimated_ask_adverse_loss
0,0.0,0.004,100.0,99.87511146683995,-0.12488853316004622,3.2,-0.4919599449607313,0.0,-0.08463083853439606,-0.040257694625658126,0.0,99.83,100.17,4.0,4.0,0.1700000000000017,0.1700000000000017,0.0,0.1700000000000017,15.230633854354846,1.5199460188071756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,normal,,0.0,0.0,3.2,0.16131217363792696,0.0,0.0
1,0.004,0.008,99.87511146683995,99.98419021443196,0.10907874759200809,3.2,-0.2752644817988506,0.0,-0.047353172045809994,0.15643191963783004,0.0,99.71000000000001,100.04,4.0,4.0,0.16511146683994582,0.16488853316005248,-0.00011146683995377771,0.16499999999999915,12.823351258233501,2.1613127229416467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,normal,,0.0,0.0,3.1399931824325704,0.15922483323276287,0.0,0.0
2,0.008,0.012,99.98419021443196,99.62496269960828,-0.35922751482368653,3.2,-1.7818294607635643,0.0,-0.3065243886913354,-0.05270312613235886,0.0,99.82000000000001,100.15,4.0,4.0,0.16419021443195447,0.16580978556804382,0.0008097855680517796,0.16499999999999915,79.49772016118649,0.34862977414918855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,normal,,0.0,0.0,3.0735088013902376,0.15691217043063965,0.0,0.0
3,0.012,0.016,99.62496269960828,99.59430381988847,-0.03065887971980885,3.2,-1.2998636059193225,0.0,-0.22361281253919357,0.19295393281938358,0.0,99.46000000000001,99.79,4.0,4.0,0.16496269960826737,0.16503730039173092,3.730039172467059e-05,0.16499999999999915,43.96810941207273,0.630349419062349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,normal,,0.0,0.0,3.288667675850798,0.16439648355366926,0.0,0.0
4,0.016,0.02,99.59430381988847,100.02057639363541,0.4262725737469424,3.2,2.4845898326488958,0.0,0.42741878298221003,-0.001146209235268057,0.0,99.43,99.76,4.0,4.0,0.16430381988845966,0.16569618011153864,0.0006961801115323851,0.16499999999999915,0.4742504571232863,58.44015922153338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,,0.0,0.0,3.190691849872037,0.16098838913064828,0.0,0.0
5,0.02,0.024,100.02057639363541,100.49515675898486,0.47458036534945336,3.2,1.832377742136105,0.0,0.31522010362270486,0.15936026172674989,0.0,99.84,100.2,4.0,4.0,0.18057639363540545,0.17942360636459398,-0.000576393635398631,0.17999999999999972,0.7739317983432645,20.8687981135558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,,0.0,0.0,3.506466628804856,0.17197263195035078,0.0,0.0
6,0.024,0.028,100.49515675898486,100.70214283229942,0.2069860733145532,3.2,0.556540379843759,0.0,0.09574047543278796,0.11124559788176477,0.0,100.31,100.68,4.0,4.0,0.18515675898485995,0.1848432410151446,-0.00015675898485767448,0.18500000000000227,3.2946064864790303,4.0947139925539355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,,0.0,0.0,3.8647105419960077,0.18443416590968326,0.0,0.0
7,0.028,0.032,100.70214283229942,100.8411224319891,0.13897959968969076,3.2,0.8490852814831213,0.0,0.1460663618963249,-0.007086762206643196,0.0,100.51,100.89,4.0,4.0,0.19214283229941032,0.18785716770058514,-0.0021428322994125892,0.18999999999999773,2.045175350370171,5.5096443423134565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,,0.0,0.0,3.8317720231249193,0.1832883977434474,0.0,0.0
8,0.032,0.036000000000000004,100.8411224319891,100.86240505229074,0.021282620301633415,3.2,-0.37786110322338956,0.0,-0.06500265386012273,0.08628527416175023,0.0,100.66,101.03,4.0,4.0,0.1811224319891096,0.18887756801089495,0.0038775680108926736,0.18500000000000227,10.87195349083007,1.2408507166189737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,normal,,0.0,0.0,3.7538324634857196,0.18057726593225298,0.0,0.0
9,0.036000000000000004,0.04,100.86240505229074,101.03355883160522,0.17115377931447995,3.2,1.456248996324258,0.0,0.250515463578304,-0.07936168426383709,0.0,100.68,101.04,4.0,4.0,0.18240505229073278,0.17759494770926665,-0.002405052290725962,0.17999999999999972,1.1760567605293262,13.733203188269098,0.0,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,101.039,0.0,0.005441168394781926,0.0,0.0,0.0,0.17759494770926665,0.001,-0.17115377931447995,-0.17115377931447995,0.0,0.0064411683947867004,-0.0,-0.250515463578304,0.07936168426383709,-0.0,-0.250515463578304,0.0,0.005441168394781926,0.0054411683947866996,-4.773959005888173e-15,normal,,0.0,0.0,3.6404088950264453,0.17663182094882418,0.0,0.0
