step,time,state,reason_codes,inventory_before,inventory_after_risk_action,forced_trade_quantity,forced_execution_cost,liquidation_pnl,drawdown
123,0.492,halted,maximum_drawdown,4.0,0.0,4.0,0.22080000000000002,-10.811888650518885,14.272283924596103
124,0.496,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
125,0.5,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
126,0.504,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
127,0.508,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
128,0.512,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
129,0.516,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
130,0.52,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
131,0.524,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
132,0.528,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
133,0.532,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
134,0.536,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
135,0.54,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
136,0.544,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
137,0.548,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
138,0.552,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
139,0.556,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
140,0.56,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
141,0.5640000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
142,0.5680000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
143,0.5720000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
144,0.5760000000000001,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
145,0.58,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
146,0.584,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
147,0.588,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
148,0.592,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
149,0.596,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
150,0.6,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
151,0.604,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
152,0.608,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
153,0.612,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
154,0.616,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
155,0.62,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
156,0.624,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
157,0.628,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
158,0.632,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
159,0.636,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
160,0.64,halted,maximum_drawdown,0.0,0.0,0.0,0.0,-10.811888650518899,14.272283924596117
