step,time_start,time_end,mid_start,mid_end,price_change,process_volatility,latent_signal,drift_price_move,information_price_move,noise_price_move,jump_price_move,quote_bid,quote_ask,bid_size,ask_size,bid_distance,ask_distance,quote_center_shift,effective_half_spread,bid_intensity,ask_intensity,bid_fill_quantity,ask_fill_quantity,net_inventory_change,toxic_bid_quantity,toxic_ask_quantity,total_toxic_quantity,inventory_start,inventory_after_risk_action,inventory_after_fills,cash_start,cash_after_risk_action,cash_after_fills,wealth_start,wealth_end,forced_execution_pnl,forced_execution_cost,forced_trade_quantity,spread_capture,maker_fees,price_move_pnl,new_fill_price_pnl,carried_inventory_price_pnl,passive_markout_pnl,drift_price_pnl,information_price_pnl,noise_price_pnl,jump_price_pnl,new_fill_information_pnl,carried_information_pnl,exact_interval_pnl,attributed_interval_pnl,reconciliation_error,risk_state,risk_reason_codes,risk_liquidation_pnl,risk_drawdown,estimated_volatility,target_half_spread,estimated_bid_adverse_loss,estimated_ask_adverse_loss
0,0.0,0.004,100.0,99.98343618440624,-0.01656381559375575,1.5,-0.854839547829388,0.0,-0.05676804010771555,0.040204224513960524,0.0,99.95,100.05,4.0,4.0,0.04999999999999716,0.04999999999999716,0.0,0.04999999999999716,78.97767861590813,16.95315712059046,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-99.95100000000001,0.0,0.032436184406236634,0.0,0.0,0.0,0.04999999999999716,0.001,-0.01656381559375575,-0.01656381559375575,-0.0,0.03343618440624141,0.0,-0.05676804010771555,0.040204224513960524,0.0,-0.05676804010771555,-0.0,0.032436184406236634,0.03243618440624141,-4.773959005888173e-15,normal,,0.0,0.0,0.0,0.05,0.0,0.0
1,0.004,0.008,99.98343618440624,99.86704491097791,-0.11639127342833433,1.5,-0.8561439932387094,0.0,-0.05685466549782848,-0.05953660793051273,0.0,99.93,100.04,4.0,4.0,0.05343618440623743,0.056563815593762,0.001563815593769391,0.054999999999999716,74.32801587600304,15.046289195771585,2.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,-99.95100000000001,-99.95100000000001,-299.81300000000005,0.032436184406236634,-0.21186526706634368,0.0,0.0,0.0,0.10687236881247486,0.002,-0.349173820285003,-0.23278254685666866,-0.11639127342833433,-0.1259101780441938,0.0,-0.17056399649348544,-0.17860982379153817,0.0,-0.11370933099565696,-0.05685466549782848,-0.2443014514725803,-0.24430145147252813,-5.218048215738236e-14,normal,,0.0,0.0,0.0,0.05,0.0016563815593755745,0.0
2,0.008,0.012,99.86704491097791,99.91930002427227,0.05225511329436472,1.5,0.4525282263001502,0.0,0.030051417913116298,0.02220369538125004,0.0,99.81,99.92,4.0,4.0,0.05704491097790765,0.052955089022091784,-0.0020449109779008268,0.054999999999999716,21.450026248032845,52.137969869421795,0.0,1.0,-1.0,0.0,1.0,1.0,3.0,3.0,2.0,-299.81300000000005,-299.81300000000005,-199.89400000000003,-0.21186526706634368,-0.0553999514554846,0.0,0.0,0.0,0.052955089022091784,0.001,0.10451022658872944,-0.05225511329436472,0.15676533988309416,0.0006999757277270646,0.0,0.060102835826232597,0.04440739076250008,0.0,-0.030051417913116298,0.09015425373934889,0.15646531561085908,0.15646531561082122,3.785860513971784e-14,normal,,0.0,0.0,0.0,0.05,0.013129870746271447,0.0
3,0.012,0.016,99.91930002427227,99.85574537687978,-0.06355464739249328,1.5,-1.0958442584450052,0.0,-0.07277264016759288,0.009217992775111927,0.0,99.86,99.97,4.0,4.0,0.05930002427227521,0.05069997572772422,-0.004300024272282599,0.054999999999999716,82.98576325449025,13.476538364642083,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,-199.89400000000003,-199.89400000000003,-299.755,-0.0553999514554846,-0.18776386936065137,0.0,0.0,0.0,0.05930002427227521,0.001,-0.19066394217747984,-0.06355464739249328,-0.12710929478498656,-0.004254623120218071,0.0,-0.21831792050277865,0.027653978325335782,0.0,-0.07277264016759288,-0.14554528033518577,-0.13236391790516677,-0.13236391790520463,3.785860513971784e-14,normal,,0.0,0.0,0.0,0.05,0.013129870746271447,0.005225511329436471
4,0.016,0.02,99.85574537687978,99.77249728931147,-0.08324808756830748,1.5,-1.1351720768010696,0.0,-0.07538431527721427,-0.007863772291087574,0.0,99.8,99.91,4.0,4.0,0.0557453768797842,0.05425462312021523,-0.0007453768797915927,0.054999999999999716,91.65648733842784,12.201654838558929,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,-299.755,-299.755,-299.755,-0.18776386936065137,-0.4375081320655454,0.0,0.0,0.0,0.0,0.0,-0.24974426270492245,-0.0,-0.24974426270492245,0.0,0.0,-0.2261529458316428,-0.02359131687326272,0.0,-0.0,-0.2261529458316428,-0.24974426270489403,-0.24974426270492245,2.842170943040401e-14,normal,,0.0,0.0,0.0,0.05,0.01817234841089363,0.005225511329436471
5,0.02,0.024,99.77249728931147,99.70543164253351,-0.06706564677796223,1.5,-1.1060829987245042,0.0,-0.07345257270032952,0.00638692592237348,0.0,99.72,99.83,4.0,4.0,0.052497289311475015,0.05750271068852442,0.0025027106885318062,0.054999999999999716,94.66394144971983,11.814010753104485,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,-299.755,-299.755,-299.755,-0.4375081320655454,-0.6387050723994889,0.0,0.0,0.0,0.0,0.0,-0.2011969403338867,-0.0,-0.2011969403338867,0.0,0.0,-0.2203577181009886,0.01916077776712044,0.0,-0.0,-0.2203577181009886,-0.20119694033394353,-0.2011969403338867,-5.684341886080802e-14,normal,,0.0,0.0,0.0,0.05,0.01817234841089363,0.005225511329436471
6,0.024,0.028,99.70543164253351,99.51355763510276,-0.191874007430755,1.5,-1.626425110132977,0.0,-0.10800736362591856,-0.08386664380484107,0.0,99.65,99.76,4.0,4.0,0.055431642533505965,0.05456835746649347,-0.0004316425334991436,0.054999999999999716,143.4264992808368,7.797449061546377,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,4.0,-299.755,-299.755,-399.40599999999995,-0.6387050723994889,-1.3517694595889225,0.0,0.0,0.0,0.055431642533505965,0.001,-0.76749602972302,-0.191874007430755,-0.575622022292265,-0.13644236489724904,0.0,-0.43202945450367425,-0.3354665752193643,0.0,-0.10800736362591856,-0.3240220908777557,-0.7130643871894335,-0.713064387189514,8.049116928532385e-14,normal,,0.0,0.0,0.0,0.05,0.01817234841089363,0.005225511329436471
7,0.028,0.032,99.51355763510276,99.42118020729085,-0.09237742781191116,1.5,-0.6311456175429939,0.0,-0.041913011420057086,-0.05046441639184877,0.0,99.46000000000001,99.57000000000001,4.0,4.0,0.05355763510274869,0.05644236489725074,0.0014423648972581304,0.054999999999999716,60.570216433752,18.46387363402338,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,-399.40599999999995,-399.40599999999995,-399.40599999999995,-1.3517694595889225,-1.7212791708365671,0.0,0.0,0.0,0.0,0.0,-0.36950971124764465,-0.0,-0.36950971124764465,0.0,0.0,-0.16765204568022835,-0.20185766556739507,0.0,-0.0,-0.16765204568022835,-0.36950971124764465,-0.36950971124764465,0.0,normal,,0.0,0.0,0.0,0.05,0.03554251431287976,0.005225511329436471
8,0.032,0.036000000000000004,99.42118020729085,99.417694045113,-0.0034861621778503604,1.5,-1.110030946550905,0.0,-0.07371474735184325,0.07022858517398678,0.0,99.37,99.48,4.0,4.0,0.05118020729084094,0.05881979270915849,0.003819792709165881,0.054999999999999716,97.28003626337255,11.496303508670909,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,-399.40599999999995,-399.40599999999995,-399.40599999999995,-1.7212791708365671,-1.7352238195479686,0.0,0.0,0.0,0.0,0.0,-0.013944648711401442,-0.0,-0.013944648711401442,0.0,0.0,-0.294858989407373,0.2809143406959471,0.0,-0.0,-0.294858989407373,-0.013944648711401442,-0.013944648711401442,0.0,normal,,0.0,0.0,0.0,0.05,0.03554251431287976,0.005225511329436471
9,0.036000000000000004,0.04,99.417694045113,99.48263271644161,0.06493867132861908,1.5,0.17596349216785778,0.0,0.011685353826040228,0.05325331750258407,0.0,99.36,99.47,4.0,4.0,0.057694045112995695,0.052305954887003736,-0.002694045113003085,0.054999999999999716,27.192731554896433,41.127196801119695,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,-399.40599999999995,-399.40599999999995,-399.40599999999995,-1.7352238195479686,-1.4754691342334922,0.0,0.0,0.0,0.0,0.0,0.2597546853144763,0.0,0.2597546853144763,0.0,0.0,0.04674141530416091,0.2130132700103363,0.0,0.0,0.04674141530416091,0.2597546853144763,0.2597546853144763,0.0,normal,,0.0,0.0,0.0,0.05,0.03554251431287976,0.005225511329436471
