step,time,side,price,quantity,fee,liquidity,quote_mid,quote_bid,quote_ask,immediate_spread_capture,toxic_quantity,toxic_fraction,is_toxic,inventory_after_trade,cash_after_trade,next_mid_price,post_trade_price_component,one_step_markout
0,0.0,buy,99.95,1.0,0.001,maker,100.0,99.95,100.05,0.04999999999999716,1.0,1.0,True,1.0,-99.95100000000001,99.98343618440624,-0.01656381559375575,0.03343618440624141
1,0.004,buy,99.93,2.0,0.002,maker,99.98343618440624,99.93,100.04,0.10687236881247486,2.0,1.0,True,3.0,-299.81300000000005,99.86704491097791,-0.23278254685666866,-0.1259101780441938
2,0.008,sell,99.92,1.0,0.001,maker,99.86704491097791,99.81,99.92,0.052955089022091784,1.0,1.0,True,2.0,-199.89400000000003,99.91930002427227,-0.05225511329436472,0.0006999757277270646
3,0.012,buy,99.86,1.0,0.001,maker,99.91930002427227,99.86,99.97,0.05930002427227521,1.0,1.0,True,3.0,-299.755,99.85574537687978,-0.06355464739249328,-0.004254623120218071
6,0.024,buy,99.65,1.0,0.001,maker,99.70543164253351,99.65,99.76,0.055431642533505965,1.0,1.0,True,4.0,-399.40599999999995,99.51355763510276,-0.191874007430755,-0.13644236489724904
16,0.064,buy,99.64,2.0,0.002,maker,99.6957124619428,99.64,99.75,0.11142492388560754,2.0,1.0,True,6.0,-598.6879999999999,99.6469862121733,-0.0974524995390027,0.01397242434660484
19,0.076,sell,99.57000000000001,1.0,0.001,maker,99.51412166712439,99.46000000000001,99.57000000000001,0.05587833287562205,1.0,1.0,True,5.0,-499.11899999999986,99.51863442780311,-0.004512760678721861,0.05136557219690019
24,0.096,sell,99.38,1.0,0.001,maker,99.32192347848512,99.27,99.38,0.0580765215148773,1.0,1.0,True,4.0,-399.73999999999984,99.22089446034964,0.1010290181354776,0.1591055396503549
25,0.1,buy,99.17,2.0,0.002,maker,99.22089446034964,99.17,99.28,0.1017889206992777,0.0,0.0,False,6.0,-598.0819999999998,99.20053006524103,-0.04072879021722997,0.061060130482047725
26,0.10400000000000001,sell,99.26,1.0,0.001,maker,99.20053006524103,99.15,99.26,0.05946993475897955,1.0,1.0,True,5.0,-498.82299999999975,99.45866595803881,-0.2581358927977817,-0.19866595803880216
30,0.12,buy,99.33,1.0,0.001,maker,99.387894798885,99.33,99.44,0.05789479888500182,0.0,0.0,False,6.0,-598.1539999999998,99.42376054854425,0.03586574965925138,0.0937605485442532
36,0.14400000000000002,buy,99.13,1.0,0.001,maker,99.18881825997732,99.13,99.24000000000001,0.058818259977329035,1.0,1.0,True,7.0,-697.2849999999997,99.08790843538782,-0.10090982458950748,-0.042091564612178445
36,0.14400000000000002,sell,99.24000000000001,1.0,0.001,maker,99.18881825997732,99.13,99.24000000000001,0.05118174002268461,0.0,0.0,False,6.0,-598.0459999999997,99.08790843538782,0.10090982458950748,0.1520915646121921
37,0.148,buy,99.03,1.0,0.001,maker,99.08790843538782,99.03,99.14,0.05790843538781587,1.0,1.0,True,7.0,-697.0769999999997,98.940565585043,-0.14734285034481331,-0.08943441495699744
38,0.152,buy,98.89,1.0,0.001,maker,98.940565585043,98.89,99.0,0.050565585043003125,1.0,1.0,True,8.0,-795.9679999999996,98.76947028798914,-0.17109529705386706,-0.12052971201086393
40,0.16,buy,98.74000000000001,1.0,0.001,maker,98.79746240863567,98.74000000000001,98.85000000000001,0.05746240863565788,1.0,1.0,True,9.0,-894.7089999999996,98.78367149302787,-0.013790915607799548,0.04367149302785833
44,0.176,sell,98.86,1.0,0.001,maker,98.80030856648217,98.75,98.86,0.05969143351782691,1.0,1.0,True,8.0,-795.8499999999996,98.80061127553175,-0.0003027090495777429,0.059388724468249166
