scenario,strategy_a,strategy_b,mean_difference,lower_bound,upper_bound,probability_positive
clean,avellaneda_stoikov,fixed,0.5662759441630184,-1.246722483130318,2.4515892492576823,0.7116
clean,avellaneda_stoikov,inventory,0.48123756698544257,-0.6430222765821159,1.7091891000117119,0.7684
clean,avellaneda_stoikov,inventory_volatility,0.854680458284127,-0.36831546401132875,2.154854008557061,0.904
clean,avellaneda_stoikov,full_adaptive,1.0616673432993007,-0.1991622629252099,2.36779178848153,0.9532
clean,avellaneda_stoikov,full_risk,1.0616673432993007,-0.1991622629252099,2.36779178848153,0.9532
high_volatility,avellaneda_stoikov,fixed,-0.09924255931816983,-4.695362219142881,4.609890723795908,0.4984
high_volatility,avellaneda_stoikov,inventory,1.470557663175868,-0.19924071452793018,3.0564461323078675,0.956
high_volatility,avellaneda_stoikov,inventory_volatility,2.0619723893000437,-0.31946650525059755,4.540147802511889,0.9548
high_volatility,avellaneda_stoikov,full_adaptive,2.705591705302779,0.4852921104668106,5.04676860691714,0.992
high_volatility,avellaneda_stoikov,full_risk,3.3931420579892175,1.1125457276391821,5.659389022188758,0.9988
toxic,avellaneda_stoikov,fixed,1.5739501095670168,-2.1187062474812985,5.3570296111001285,0.8004
toxic,avellaneda_stoikov,inventory,-0.07648303003688586,-1.7541199954220144,1.592537219967563,0.4896
toxic,avellaneda_stoikov,inventory_volatility,-2.2668780029325317,-4.332640732695546,-0.10193764330990739,0.0196
toxic,avellaneda_stoikov,full_adaptive,-2.9447962448964433,-4.740517571168054,-1.2135585606653585,0.0004
toxic,avellaneda_stoikov,full_risk,-3.031488176451786,-4.8039271991237635,-1.35298850683929,0.0004
one_sided,avellaneda_stoikov,fixed,-0.10106231161286665,-3.967108299661385,3.629134795430638,0.4748
one_sided,avellaneda_stoikov,inventory,-1.0002320897976635,-2.9667783540645063,0.9392583988668727,0.1616
one_sided,avellaneda_stoikov,inventory_volatility,-0.7758142918005747,-2.9924589525045553,1.34943938954361,0.2468
one_sided,avellaneda_stoikov,full_adaptive,-0.3452117939594876,-2.9127770791007346,2.186469956080379,0.398
one_sided,avellaneda_stoikov,full_risk,-0.5149916201078506,-3.211746592278384,2.1529117399249356,0.3612
regime_switching,avellaneda_stoikov,fixed,0.5038602285699474,-2.8005656618945522,3.639281978773477,0.6196
regime_switching,avellaneda_stoikov,inventory,0.1834002777886899,-1.7083073227231678,2.0128291333668775,0.578
regime_switching,avellaneda_stoikov,inventory_volatility,-1.7855304917970614,-3.950258140560619,0.21617089053335392,0.0356
regime_switching,avellaneda_stoikov,full_adaptive,-1.1677792747175273,-3.059295087641886,0.7706553181065229,0.1244
regime_switching,avellaneda_stoikov,full_risk,-1.1677792747175273,-3.059295087641886,0.7706553181065229,0.1244
stress,avellaneda_stoikov,fixed,37.42642939658701,7.098603677720741,66.5217583316004,0.9932
stress,avellaneda_stoikov,inventory,10.023929659309045,0.7711961391267248,19.272032831520484,0.982
stress,avellaneda_stoikov,inventory_volatility,-17.631765079217793,-21.95315925666042,-13.661217674094557,0.0
stress,avellaneda_stoikov,full_adaptive,-23.020386943644574,-29.55406037638353,-17.494605271911528,0.0
stress,avellaneda_stoikov,full_risk,-23.537836946194563,-30.872960614894104,-16.962760971154083,0.0
