side,distance_bin,mean_distance,fill_probability,mean_quantity,observations
ask,"(0.0631, 0.0834]",0.07523566264804527,0.109375,0.109375,64
ask,"(0.0834, 0.0919]",0.08903010569939664,0.045454545454545456,0.045454545454545456,22
ask,"(0.0919, 0.0958]",0.09425846345173818,0.05555555555555555,0.08333333333333333,36
ask,"(0.0958, 0.0993]",0.09773003193849797,0.023809523809523808,0.023809523809523808,42
ask,"(0.0993, 0.104]",0.10117862545535745,0.024390243902439025,0.024390243902439025,41
ask,"(0.104, 0.115]",0.10645511289006764,0.044444444444444446,0.044444444444444446,45
bid,"(0.0631, 0.0834]",0.07981874656196482,0.05,0.15,20
bid,"(0.0834, 0.0919]",0.08789399589855104,0.08196721311475409,0.08196721311475409,61
bid,"(0.0919, 0.0958]",0.09395034068731675,0.06382978723404255,0.06382978723404255,47
bid,"(0.0958, 0.0993]",0.09783805637128438,0.04878048780487805,0.04878048780487805,41
bid,"(0.0993, 0.104]",0.10146682214860056,0.09523809523809523,0.09523809523809523,42
bid,"(0.104, 0.115]",0.10699856361326947,0.0,0.0,39
