scenario,strategy,number_of_paths,mean_terminal_pnl,median_terminal_pnl,pnl_standard_deviation,pnl_1_percentile,pnl_5_percentile,pnl_95_percentile,worst_terminal_pnl,probability_of_loss,expected_shortfall_5,mean_maximum_drawdown,mean_absolute_inventory,mean_maximum_inventory,mean_traded_quantity,mean_markout_per_unit,mean_toxic_fraction,mean_forced_reduction_count,halt_probability,maximum_reconciliation_error
clean,fixed,40,3.4123739229825025,3.5885633471309246,4.530813581609152,-6.333999578355473,-5.770057953641209,10.165298796246908,-6.530952639654286,0.175,-6.278448714912219,4.112526734219601,4.6467,10.675,67.1,0.05508306468282135,0.0,0.0,0.0,4.1948666762436915e-12
clean,full_adaptive,40,2.9169825238462197,2.6642403737684033,1.9678083913176028,-0.8399033970510926,0.39585674674091054,5.976729794478025,-0.8494197746873906,0.05,-0.8372192905382906,1.721606889408519,2.0653999999999995,4.85,34.375,0.09053801469192778,0.0,0.0,0.0,6.146194664324867e-13
clean,full_risk,40,2.9169825238462197,2.6642403737684033,1.9678083913176028,-0.8399033970510926,0.39585674674091054,5.976729794478025,-0.8494197746873906,0.05,-0.8372192905382906,1.721606889408519,2.0653999999999995,4.85,34.375,0.09053801469192778,0.0,0.0,0.0,6.146194664324867e-13
clean,inventory,40,3.497412300160078,3.048932040213347,2.3440945880603365,-0.3634464755621811,0.23178913497872058,7.949938727557134,-0.6137596995830181,0.025,-0.2928453098127143,1.7993362822775307,2.2611,6.175,68.1,0.05305469477597628,0.0,0.0,0.0,1.6076029396572267e-12
clean,inventory_volatility,40,3.1239694088613934,2.8713147928104163,2.5237185596550296,-1.2971665988193855,-0.015486143504835154,6.473011301068861,-2.0357392420117812,0.075,-1.0888512379189663,1.9073279175633573,2.2707,5.425,42.25,0.08187188900707687,0.0,0.0,0.0,8.970602038971265e-13
high_volatility,fixed,40,3.0836073656180583,4.360141311188917,13.829310629821405,-24.52005049336785,-21.220301729452885,21.74546350919791,-26.200413954893737,0.375,-24.046101824732347,14.846730265250756,4.7217,10.65,66.775,0.057059744523768684,0.0,0.0,0.0,4.373390538603417e-12
high_volatility,full_adaptive,40,0.27877310099710917,0.7654692033113455,4.33684673289073,-11.900639229726057,-6.29873330277325,5.557673910374832,-14.174015371246668,0.375,-11.25943057442537,5.322633742588367,1.6644999999999999,3.35,11.95,0.15135297899330863,0.0,0.0,0.0,2.4513724383723456e-13
high_volatility,full_risk,40,-0.40877725168932955,0.49697858798143113,4.793807144007209,-13.23144127081117,-8.574558959002747,4.543857105949298,-13.418341971534298,0.425,-13.178725688555929,5.140351607873209,1.5193,3.3,11.6,0.15120375328946406,0.0,0.075,0.075,2.4513724383723456e-13
high_volatility,inventory,40,1.5138071431240203,2.6959966444621677,5.792421001054717,-12.494587547470003,-8.090779490400196,6.847525803825203,-13.438129169070578,0.3,-12.228460423428814,6.718365601664734,2.1997999999999998,5.675,68.1,0.050632801828931484,0.0,0.0,0.0,1.0906830993917538e-12
high_volatility,inventory_volatility,40,0.922392416999845,0.01363822085652111,5.828286537560132,-12.524585291812416,-5.224339208168895,10.708107016118955,-16.66601537124663,0.5,-11.356489628382253,5.654542622224267,1.739,3.95,15.85,0.13334451814023637,0.0,0.0,0.0,3.304023721284466e-13
one_sided,fixed,40,2.589932886795916,5.18594068680131,24.390254102502066,-49.03078829810411,-33.072656197592416,41.9594319744736,-55.24154370557378,0.425,-47.279036772920364,26.6360592646114,20.8755,38.45,76.2,0.05356678226209379,0.0,0.0,0.0,9.823253321883385e-12
one_sided,full_adaptive,40,2.834082369142537,2.679058826596186,6.850820461581976,-11.469547169442896,-6.8883901869981345,13.471495996775559,-14.336090448832596,0.35,-10.661034962435545,6.869846033341437,6.0289,10.125,31.325,0.10290123735420094,0.0,0.0,0.0,1.092459456231154e-12
one_sided,full_risk,40,3.0038621952909006,2.679058826596186,6.48898727393633,-7.326919411422836,-6.8883901869981345,13.471495996775559,-7.544897402898072,0.35,-7.265438439468283,6.715066207193073,5.9571,10.125,31.125,0.10297287299590727,0.0,0.025,0.025,1.092459456231154e-12
one_sided,inventory,40,3.489102664980713,4.08046766714927,8.32249170231243,-14.931974020423148,-8.718860526978727,15.910016134605849,-16.4343585989812,0.35,-14.508224523906774,8.860877342258625,7.9096,13.625,70.5,0.056280066236071444,0.0,0.0,0.0,3.7267966490617255e-12
one_sided,inventory_volatility,40,3.2646848669836244,2.816546198822868,7.443439188795525,-11.763382246882784,-7.564478839649515,15.097374756600075,-12.396090448832656,0.35,-11.584926087358461,7.613961375986944,6.753,12.15,39.65,0.08917052947211147,0.0,0.0,0.0,1.3358203432289883e-12
regime_switching,fixed,40,0.012943253265369048,0.8568951139733139,9.44313174224382,-22.110794124978074,-20.214143865838007,15.412449447347235,-23.190760343663705,0.45,-21.806188268425714,11.05855759479834,5.0596000000000005,12.675,82.75,0.005292169345747351,0.539970571410222,0.0,0.0,3.204547738278052e-12
regime_switching,full_adaptive,40,1.6845827565528442,1.7697118562754142,4.640053539168449,-8.128932210677728,-6.300393684196833,10.337789989937137,-8.825378701863267,0.325,-7.932498584958731,4.25687645151705,2.1555,4.675,26.75,0.07461987634347386,0.3362670900666013,0.0,0.0,6.199485369506874e-13
regime_switching,full_risk,40,1.6845827565528442,1.7697118562754142,4.640053539168449,-8.128932210677728,-6.300393684196833,10.337789989937137,-8.825378701863267,0.325,-7.932498584958731,4.25687645151705,2.1555,4.675,26.75,0.07461987634347386,0.3362670900666013,0.0,0.0,6.199485369506874e-13
regime_switching,inventory,40,0.33340320404662704,-0.354088384006066,5.1480189040251725,-10.502727614001227,-8.851306278088124,9.873849742498182,-11.03341651681337,0.525,-10.353046128592673,6.142655278751765,2.5113,7.1,83.8,0.006997869347216539,0.5458459201393318,0.0,0.0,1.545430450278218e-12
regime_switching,inventory_volatility,40,2.302333973632378,1.8407552028811742,4.301446324827843,-6.212439321057906,-4.687494977088531,8.238611589948734,-6.313129622002463,0.2,-6.184039492586365,4.195083271380653,2.3514000000000004,6.0,38.1,0.06192060338328418,0.4212635433487691,0.0,0.0,7.531752999057062e-13
stress,fixed,40,-62.11821472903823,-44.67968173806887,117.15141002765857,-319.6191438911509,-284.9733395817057,114.58002306280727,-335.59396824748507,0.65,-315.1134242009027,159.9516592425216,29.032000000000004,39.95,124.675,-0.12765122751423863,0.8750493568289336,0.0,0.0,1.2846612662542611e-11
stress,full_adaptive,40,-1.6713983888066442,-0.15759061692719445,10.125111087272158,-35.83592589636151,-15.391652773411572,8.463431070161377,-37.104867838681805,0.525,-35.47801919468142,10.970234766603209,2.2237,3.85,10.05,-0.00845329712524076,0.8654924753608964,0.0,0.0,2.7000623958883807e-13
stress,full_risk,40,-1.1539483862566602,-1.0662881297422897,7.011204032390614,-12.971435852617521,-11.163365379197224,8.463431070161377,-13.934932791976411,0.575,-12.699680305618859,9.250085087397306,1.9756,3.7,9.25,-0.009752153063489722,0.8708202908202909,0.225,0.225,1.9539925233402755e-13
stress,inventory,40,-34.715714991760265,-30.725687098226068,46.52359522104823,-150.56018170645473,-139.6391613472939,35.53764264772835,-153.9382184902021,0.8,-149.6074021007824,61.763461735088995,10.0852,19.25,151.025,-0.13041440376600816,0.8779545489670862,0.0,0.0,7.453593298123451e-12
stress,inventory_volatility,40,-7.060020253233427,-1.0661752091497567,23.200026052859894,-64.94240330461349,-56.773782369819095,26.29936255238635,-68.22079047424279,0.65,-64.01773000035908,25.04702160379097,4.5905000000000005,8.725,21.75,-0.02993518700406716,0.8785976801909087,0.0,0.0,7.158718062783009e-13
toxic,fixed,40,-2.8633396108224582,-3.3057609777082266,13.556780931025697,-40.65504462070478,-21.858939981575425,13.421999255061538,-44.990217028482945,0.575,-39.4323036851776,14.094324555020728,6.402799999999999,14.125,100.7,-0.002808599512665612,0.8153008986337257,0.0,0.0,3.3715252811816754e-12
toxic,full_adaptive,40,1.6554067436410018,2.1615386139345016,4.142917805599453,-10.978365887548243,-5.06610576660088,7.043672038538718,-14.063411413475885,0.2,-10.10822484177378,3.3337688961089924,1.7167999999999999,4.025,22.15,0.07235065861806304,0.8333205160893641,0.0,0.0,3.632649736573512e-13
toxic,full_risk,40,1.742098675196345,2.1615386139345016,3.8300282490240116,-8.86308275759787,-5.06610576660088,7.043672038538718,-10.595734151262159,0.2,-8.374386210666916,3.2313942578422576,1.6925000000000001,4.025,22.1,0.07211212695170632,0.8341350524302161,0.025,0.025,3.632649736573512e-13
toxic,inventory,40,-1.2129064712185553,0.08375931948568666,4.752271336088728,-13.362198696822649,-11.056971560215905,4.558399338699721,-13.998197585468024,0.475,-13.182814394897031,5.810880186216874,2.5259,7.65,100.575,-0.006317491407364015,0.8134515224432775,0.0,0.0,1.7772450178199506e-12
